created_at,entry_id,field1,field2,field3,field4,field5,field6,field7,latitude,longitude,elevation,status
2026-07-23T05:40:35+00:00,57,0,29.5,0,9,0,0,0,,,,
2026-07-23T05:40:57+00:00,58,0,29.4,0,9,0,0,0,,,,
2026-07-23T05:41:18+00:00,59,0,29.4,0,9,0,0,0,,,,
2026-07-23T05:41:40+00:00,60,0,29.4,0,9,0,0,0,,,,
2026-07-23T05:42:02+00:00,61,0,29.4,0,9,0,0,0,,,,
2026-07-23T05:42:24+00:00,62,2,29,14.2,8.2,0,2.5,1.7,,,,
2026-07-23T05:42:45+00:00,63,0,27.6,0,9,0,0,0,,,,
2026-07-23T05:43:10+00:00,64,0,26.4,0,9,0,0,0,,,,
2026-07-23T05:43:31+00:00,65,0,26.4,0,9,0,0,0,,,,
2026-07-23T05:43:53+00:00,66,97.6,28.8,14.2,8.3,0,2.5,1.7,,,,
2026-07-23T05:44:14+00:00,67,80.2,28.8,32.9,7.5,3,11.5,10.8,,,,
2026-07-23T05:44:36+00:00,68,54.5,28.9,32.9,7.2,3,11.5,10.8,,,,
2026-07-23T05:44:58+00:00,69,41.5,28.9,34.4,7,3.3,12.3,11.6,,,,
2026-07-23T05:45:19+00:00,70,72.9,28.9,34.4,7,3.3,12.3,11.6,,,,
2026-07-23T05:45:41+00:00,71,71.2,29,29.6,6.7,2.3,9.9,9.2,,,,
2026-07-23T05:46:02+00:00,72,75.4,28.9,31,6.5,2.6,10.6,9.9,,,,
2026-07-23T05:46:24+00:00,73,77.3,28.9,32.5,6.4,2.9,11.3,10.6,,,,
2026-07-23T05:46:46+00:00,74,77.3,28.9,32.6,6.3,2.9,11.4,10.7,,,,
2026-07-23T05:47:07+00:00,75,78.5,28.9,32.5,6.2,2.9,11.3,10.6,,,,
2026-07-23T05:47:29+00:00,76,80.2,28.9,32.5,6.2,2.9,11.3,10.6,,,,
2026-07-23T05:47:51+00:00,77,76.2,28.9,32.5,6.1,2.9,11.3,10.6,,,,
2026-07-23T05:48:12+00:00,78,79.6,28.9,32.5,6,2.9,11.3,10.6,,,,
2026-07-23T05:48:34+00:00,79,78.5,28.9,32.5,6,2.9,11.3,10.6,,,,
2026-07-23T05:48:56+00:00,80,76.2,28.9,32.5,5.9,2.9,11.3,10.6,,,,
2026-07-23T05:49:17+00:00,81,75.2,28.9,32.5,5.9,2.9,11.3,10.6,,,,
2026-07-23T05:49:39+00:00,82,75.2,28.9,32.5,5.8,2.9,11.3,10.6,,,,
2026-07-23T05:50:01+00:00,83,76.4,28.9,32.5,5.8,2.9,11.3,10.6,,,,
2026-07-23T05:50:23+00:00,84,78.5,28.9,32.5,5.8,2.9,11.3,10.6,,,,
2026-07-23T05:50:44+00:00,85,76.4,28.9,32.5,5.7,2.9,11.3,10.6,,,,
2026-07-23T05:51:06+00:00,86,76.2,28.9,32.5,5.7,2.9,11.3,10.6,,,,
2026-07-23T05:51:28+00:00,87,76.4,28.9,32.5,5.7,2.9,11.3,10.6,,,,
2026-07-23T05:51:49+00:00,88,76.2,28.9,32.5,5.6,2.9,11.3,10.6,,,,
2026-07-23T05:52:11+00:00,89,78.7,28.9,32.4,5.6,2.9,11.3,10.6,,,,
2026-07-23T05:52:33+00:00,90,76.2,28.9,32.5,5.6,2.9,11.3,10.6,,,,
2026-07-23T05:52:54+00:00,91,75.2,28.9,32.4,5.5,2.9,11.3,10.6,,,,
2026-07-23T05:53:16+00:00,92,76.2,28.9,32.4,5.5,2.9,11.3,10.6,,,,
2026-07-23T05:53:38+00:00,93,75.2,28.9,32.4,5.5,2.9,11.3,10.6,,,,
2026-07-23T05:54:00+00:00,94,77.3,28.9,32.4,5.5,2.9,11.3,10.6,,,,
2026-07-23T05:54:21+00:00,95,78.5,28.9,32.4,5.4,2.9,11.3,10.6,,,,
2026-07-23T05:54:43+00:00,96,78.5,28.9,32.4,5.4,2.9,11.3,10.6,,,,
2026-07-23T05:55:05+00:00,97,76.4,28.9,32.4,5.4,2.9,11.3,10.6,,,,
2026-07-23T05:55:26+00:00,98,76.4,28.9,32.4,5.4,2.9,11.3,10.6,,,,
2026-07-23T05:55:48+00:00,99,78.5,28.9,32.4,5.3,2.9,11.3,10.6,,,,
2026-07-23T05:56:10+00:00,100,78.7,28.9,32.4,5.3,2.9,11.3,10.6,,,,
2026-07-23T05:56:32+00:00,101,75.2,28.9,32.4,5.3,2.9,11.3,10.6,,,,
2026-07-23T05:56:53+00:00,102,76.2,28.8,32.4,5.3,2.9,11.3,10.6,,,,
2026-07-23T05:57:15+00:00,103,77.7,28.8,32.4,5.3,2.9,11.3,10.6,,,,
2026-07-23T05:57:36+00:00,104,74.8,28.8,32.4,5.2,2.9,11.3,10.6,,,,
2026-07-23T05:57:58+00:00,105,76.2,28.8,32.4,5.2,2.9,11.3,10.6,,,,
2026-07-23T05:58:19+00:00,106,100,28.8,33.4,5.2,3.1,11.8,11.1,,,,
2026-07-23T05:58:41+00:00,107,100,28.8,33.4,5.2,3.1,11.8,11.1,,,,
2026-07-23T05:59:03+00:00,108,100,28.8,33.4,5.2,3.1,11.8,11.1,,,,
2026-07-23T05:59:25+00:00,109,100,28.8,33.4,5.1,3.1,11.8,11.1,,,,
2026-07-23T05:59:47+00:00,110,100,28.8,33.4,5.1,3.1,11.8,11.1,,,,
2026-07-23T06:00:08+00:00,111,100,28.8,33.4,5.1,3.1,11.8,11.1,,,,
2026-07-23T06:00:30+00:00,112,100,28.8,33.4,5.1,3.1,11.8,11.1,,,,
2026-07-23T06:00:52+00:00,113,100,28.8,33.4,5.1,3.1,11.8,11.1,,,,
2026-07-23T06:01:14+00:00,114,100,28.8,33.4,5.1,3.1,11.8,11.1,,,,
2026-07-23T06:01:35+00:00,115,100,28.8,33.4,5,3.1,11.8,11.1,,,,
2026-07-23T06:01:57+00:00,116,100,28.8,33.4,5,3.1,11.8,11.1,,,,
2026-07-23T06:02:19+00:00,117,100,28.8,33.4,5,3.1,11.8,11.1,,,,
2026-07-23T06:02:41+00:00,118,100,28.8,33.4,5,3.1,11.8,11.1,,,,
2026-07-23T06:03:03+00:00,119,23.5,26.4,43.7,8,5.2,16.7,16.1,,,,
2026-07-23T06:03:24+00:00,120,23.2,26.3,44,6.7,5.3,16.9,16.2,,,,
2026-07-23T06:03:46+00:00,121,23.8,26.2,44.2,6.3,5.3,17,16.3,,,,
2026-07-23T06:04:08+00:00,122,23.8,26.3,44.3,6,5.4,17,16.4,,,,
2026-07-23T06:04:29+00:00,123,23.8,26.3,44.4,5.8,5.4,17.1,16.4,,,,
2026-07-23T06:04:51+00:00,124,23.8,26.3,44.5,5.6,5.4,17.1,16.5,,,,
2026-07-23T06:05:12+00:00,125,23.6,26.3,44.6,5.5,5.4,17.2,16.5,,,,
2026-07-23T06:05:34+00:00,126,24,26.3,44.6,5.4,5.4,17.2,16.5,,,,
2026-07-23T06:05:56+00:00,127,23.9,26.3,44.7,5.3,5.4,17.2,16.6,,,,
2026-07-23T06:06:18+00:00,128,23.4,26.3,44.7,5.2,5.4,17.2,16.6,,,,
2026-07-23T06:06:39+00:00,129,24,26.3,44.8,5,5.5,17.3,16.6,,,,
2026-07-23T06:07:01+00:00,130,23.6,26.3,44.9,5,5.5,17.3,16.7,,,,
2026-07-23T06:07:23+00:00,131,23.4,26.3,44.9,4.9,5.5,17.3,16.7,,,,
2026-07-23T06:07:44+00:00,132,23.8,26.3,44.9,4.9,5.5,17.3,16.7,,,,
2026-07-23T06:08:06+00:00,133,23.6,26.3,44.9,4.8,5.5,17.3,16.7,,,,
2026-07-23T06:08:28+00:00,134,24.4,26.3,44.9,4.8,5.5,17.3,16.7,,,,
2026-07-23T06:08:49+00:00,135,23.6,26.3,45,4.7,5.5,17.4,16.7,,,,
2026-07-23T06:09:11+00:00,136,24,26.3,45,4.7,5.5,17.4,16.7,,,,
2026-07-23T06:09:33+00:00,137,23.6,26.3,45.1,4.7,5.5,17.4,16.8,,,,
2026-07-23T06:09:55+00:00,138,23.6,26.3,45.1,4.7,5.5,17.4,16.8,,,,
2026-07-23T06:10:17+00:00,139,23.4,26.3,45.1,4.6,5.5,17.4,16.8,,,,
2026-07-23T06:10:38+00:00,140,24,26.3,45.2,4.6,5.5,17.5,16.8,,,,
2026-07-23T06:11:00+00:00,141,24.4,26.4,45.2,4.6,5.5,17.5,16.8,,,,
2026-07-23T06:11:22+00:00,142,23.6,26.3,45.2,4.3,5.5,17.5,16.8,,,,
2026-07-23T06:11:44+00:00,143,23.6,26.3,45.2,4.4,5.5,17.5,16.8,,,,
2026-07-23T06:12:05+00:00,144,23.8,26.4,45.2,4.4,5.5,17.5,16.8,,,,
2026-07-23T06:12:27+00:00,145,23.6,26.4,45.2,4.5,5.5,17.5,16.8,,,,
2026-07-23T06:12:49+00:00,146,23.4,26.4,45.2,4.4,5.5,17.5,16.8,,,,
2026-07-23T06:13:10+00:00,147,24.4,26.4,45.3,4.3,5.6,17.5,16.9,,,,
2026-07-23T06:13:32+00:00,148,24,26.3,45.2,4.3,5.5,17.5,16.8,,,,
2026-07-23T06:13:53+00:00,149,23.4,26.4,45.3,4.3,5.6,17.5,16.9,,,,
2026-07-23T06:14:15+00:00,150,24,26.4,45.3,4.4,5.6,17.5,16.9,,,,
2026-07-23T06:14:36+00:00,151,23.9,26.4,45.3,4.3,5.6,17.5,16.9,,,,
2026-07-23T06:14:58+00:00,152,23.9,26.4,45.3,4.3,5.6,17.5,16.9,,,,
2026-07-23T06:15:20+00:00,153,23.6,26.4,45.3,4.3,5.6,17.5,16.9,,,,
2026-07-23T06:15:42+00:00,154,23.8,26.4,45.3,4.3,5.6,17.5,16.9,,,,
2026-07-23T06:16:04+00:00,155,23.7,26.4,45.4,4.3,5.6,17.6,16.9,,,,
2026-07-23T06:16:25+00:00,156,24,26.4,45.3,4.3,5.6,17.5,16.9,,,,
2026-07-23T06:16:47+00:00,157,24.2,26.4,45.3,4.3,5.6,17.5,16.9,,,,
2026-07-23T06:17:09+00:00,158,24,26.4,45.4,4.2,5.6,17.6,16.9,,,,
2026-07-23T06:17:31+00:00,159,23.7,26.4,45.3,4.2,5.6,17.5,16.9,,,,
2026-07-23T06:17:53+00:00,160,24,26.4,45.4,4.2,5.6,17.5,16.9,,,,
2026-07-23T06:18:15+00:00,161,23.4,26.4,45.4,4.2,5.6,17.6,16.9,,,,
2026-07-23T06:18:36+00:00,162,23.6,26.4,45.4,4.2,5.6,17.6,16.9,,,,
2026-07-23T06:18:58+00:00,163,23.4,26.4,45.4,4.2,5.6,17.6,16.9,,,,
2026-07-23T06:19:20+00:00,164,24,26.4,45.4,4.2,5.6,17.6,16.9,,,,
2026-07-23T06:19:41+00:00,165,23.6,26.4,45.5,4.2,5.6,17.6,16.9,,,,
2026-07-23T06:20:04+00:00,166,24,26.4,45.4,4,5.6,17.6,16.9,,,,
2026-07-23T06:20:26+00:00,167,24,26.4,45.4,4,5.6,17.6,16.9,,,,
2026-07-23T06:20:48+00:00,168,24.2,26.4,45.5,4,5.6,17.6,17,,,,
2026-07-23T06:21:09+00:00,169,23.7,26.4,45.5,4,5.6,17.6,17,,,,
2026-07-23T06:21:31+00:00,170,22.7,26.4,45.5,4,5.6,17.6,17,,,,
2026-07-23T06:21:53+00:00,171,22.2,26.4,41.1,4.1,4.7,15.5,14.8,,,,
2026-07-23T06:22:15+00:00,172,47.4,27.2,41.1,4.1,4.7,15.5,14.8,,,,
2026-07-23T06:22:36+00:00,173,44.8,27.4,88.3,4,14.5,38.3,37.8,,,,
2026-07-23T06:23:00+00:00,174,41,27.3,82.5,4,13.3,35.5,34.9,,,,
2026-07-23T06:23:24+00:00,175,39.1,27.2,79.2,3.9,12.6,33.9,33.3,,,,
2026-07-23T06:23:46+00:00,176,38.7,27.2,77.1,3.9,12.2,32.9,32.3,,,,
2026-07-23T06:24:07+00:00,177,38.3,27.2,75.4,3.9,11.8,32,31.4,,,,
2026-07-23T06:24:29+00:00,178,38.3,27.1,74.3,3.9,11.6,31.5,31,,,,
2026-07-23T06:24:52+00:00,179,38.2,27.2,73.4,3.8,11.4,31.1,30.5,,,,
2026-07-23T06:25:14+00:00,180,36.7,27.1,72.6,3.9,11.3,30.7,30.1,,,,
2026-07-23T06:25:36+00:00,181,36.8,27.1,71.8,3.8,11.1,30.3,29.7,,,,
2026-07-23T06:25:58+00:00,182,37.5,27,71.2,3.8,11,30,29.4,,,,
2026-07-23T06:26:19+00:00,183,36.3,27,70.6,3.8,10.8,29.7,29.2,,,,
2026-07-23T06:26:41+00:00,184,35,27.1,70.2,3.8,10.7,29.5,28.9,,,,
2026-07-23T06:27:03+00:00,185,35,27,69.7,3.8,10.7,29.3,28.7,,,,
2026-07-23T06:27:24+00:00,186,36.3,27,69.3,3.9,10.6,29.1,28.5,,,,
2026-07-23T06:27:46+00:00,187,36.5,27,69,3.9,10.5,29,28.4,,,,
2026-07-23T06:28:07+00:00,188,34.6,27,68.7,3.8,10.4,28.8,28.2,,,,
2026-07-23T06:28:29+00:00,189,35,26.9,68.4,3.8,10.4,28.7,28.1,,,,
2026-07-23T06:28:51+00:00,190,34.1,27,68,3.8,10.3,28.5,27.9,,,,
2026-07-23T06:29:13+00:00,191,34.6,26.9,67.8,3.8,10.3,28.4,27.8,,,,
2026-07-23T06:29:34+00:00,192,34,27,67.5,3.8,10.2,28.2,27.6,,,,
2026-07-23T06:29:56+00:00,193,34,26.9,67.2,3.8,10.1,28.1,27.5,,,,
2026-07-23T06:30:17+00:00,194,34.8,26.9,67.1,3.8,10.1,28,27.5,,,,
2026-07-23T06:30:39+00:00,195,34.4,26.9,66.8,3.8,10,27.9,27.3,,,,
2026-07-23T06:31:01+00:00,196,34.3,26.9,66.5,3.8,10,27.7,27.2,,,,
2026-07-23T06:31:23+00:00,197,33.8,26.9,66.4,3.8,10,27.7,27.1,,,,
2026-07-23T06:31:45+00:00,198,33.3,26.7,66.2,3.8,9.9,27.6,27,,,,
2026-07-23T06:32:06+00:00,199,32.7,26.9,65.9,3.8,9.9,27.5,26.9,,,,
2026-07-23T06:32:28+00:00,200,33.3,26.9,65.8,3.8,9.8,27.4,26.8,,,,
2026-07-23T06:32:50+00:00,201,32.7,26.9,65.4,3.8,9.8,27.2,26.6,,,,
2026-07-23T06:33:11+00:00,202,33.6,26.8,65.3,3.8,9.7,27.2,26.6,,,,
2026-07-23T06:33:33+00:00,203,32.6,26.9,65.1,3.8,9.7,27.1,26.5,,,,
2026-07-23T06:33:55+00:00,204,32.7,26.9,65,3.8,9.7,27,26.4,,,,
2026-07-23T06:34:17+00:00,205,33.6,26.9,64.8,3.8,9.6,26.9,26.3,,,,
2026-07-23T06:34:39+00:00,206,32.6,26.9,64.6,3.8,9.6,26.8,26.2,,,,
2026-07-23T06:35:01+00:00,207,32.4,26.9,64.5,3.8,9.6,26.8,26.2,,,,
2026-07-23T06:35:23+00:00,208,32.4,26.8,64.3,3.8,9.5,26.7,26.1,,,,
2026-07-23T06:35:45+00:00,209,33.6,26.9,64.1,3.7,9.5,26.6,26,,,,
2026-07-23T06:36:07+00:00,210,32.4,26.8,64,3.7,9.5,26.5,25.9,,,,
2026-07-23T06:36:28+00:00,211,31.4,26.8,63.8,3.7,9.4,26.4,25.8,,,,
2026-07-23T06:36:50+00:00,212,32.8,26.8,63.7,3.7,9.4,26.4,25.8,,,,
2026-07-23T06:37:12+00:00,213,32.4,26.8,63.6,3.7,9.4,26.3,25.8,,,,
2026-07-23T06:37:34+00:00,214,32.4,26.8,63.5,3.7,9.4,26.3,25.7,,,,
2026-07-23T06:37:55+00:00,215,32.1,26.8,63.4,3.7,9.3,26.3,25.7,,,,
2026-07-23T06:38:17+00:00,216,32.1,26.8,63.2,3.7,9.3,26.2,25.6,,,,
2026-07-23T06:38:38+00:00,217,31.4,26.8,63.1,3.7,9.3,26.1,25.5,,,,
2026-07-23T06:39:01+00:00,218,32,26.8,63,3.7,9.3,26.1,25.5,,,,
2026-07-23T06:39:22+00:00,219,31.9,26.8,63,3.7,9.3,26.1,25.5,,,,
2026-07-23T06:39:44+00:00,220,31.4,26.8,62.8,3.7,9.2,26,25.4,,,,
2026-07-23T06:40:06+00:00,221,32.1,26.8,62.7,3.7,9.2,25.9,25.3,,,,
2026-07-23T06:40:28+00:00,222,31.9,26.8,62.6,3.7,9.2,25.9,25.3,,,,
2026-07-23T06:40:50+00:00,223,32,26.8,62.4,3.7,9.1,25.8,25.2,,,,
2026-07-23T06:41:12+00:00,224,31.4,26.8,62.3,3.7,9.1,25.7,25.1,,,,
2026-07-23T06:41:34+00:00,225,31,26.8,62.3,3.7,9.1,25.7,25.1,,,,
2026-07-23T06:41:55+00:00,226,30,26.8,57.4,3.8,8.1,23.4,22.7,,,,
2026-07-23T06:42:17+00:00,227,46.2,26.8,57.2,3.7,8,23.3,22.6,,,,
2026-07-23T06:42:39+00:00,228,45.6,27,88.8,3.7,14.6,38.5,38,,,,
2026-07-23T06:43:00+00:00,229,43.4,27,81.3,3.7,13.1,34.9,34.4,,,,
2026-07-23T06:43:22+00:00,230,43.1,27.1,78.2,3.7,12.4,33.4,32.8,,,,
2026-07-23T06:43:44+00:00,231,40.7,27.1,76.2,3.7,12,32.4,31.9,,,,
2026-07-23T06:44:05+00:00,232,39.5,27.1,74.7,3.7,11.7,31.7,31.1,,,,
2026-07-23T06:44:27+00:00,233,39,27.1,73.4,3.7,11.4,31.1,30.5,,,,
2026-07-23T06:44:49+00:00,234,38.2,27.1,72.3,3.7,11.2,30.5,30,,,,
2026-07-23T06:45:11+00:00,235,38.9,27.1,71,3.7,10.9,29.9,29.3,,,,
2026-07-23T06:45:32+00:00,236,39.1,27.1,70.2,3.7,10.8,29.5,29,,,,
2026-07-23T06:45:54+00:00,237,39.1,27.1,69.5,3.7,10.6,29.2,28.6,,,,
2026-07-23T06:46:16+00:00,238,36.4,27.1,68.7,3.7,10.4,28.8,28.2,,,,
2026-07-23T06:46:38+00:00,239,35.4,27.1,68.1,3.7,10.3,28.5,27.9,,,,
2026-07-23T06:47:00+00:00,240,36.8,27.1,67.6,3.7,10.2,28.3,27.7,,,,
2026-07-23T06:47:22+00:00,241,35.4,27.1,67.1,3.7,10.1,28,27.5,,,,
2026-07-23T06:47:44+00:00,242,35.3,27.1,66.5,3.7,10,27.7,27.2,,,,
2026-07-23T06:48:06+00:00,243,34.8,27.1,66.2,3.7,9.9,27.6,27,,,,
2026-07-23T06:48:28+00:00,244,35,27.1,65.8,3.6,9.8,27.4,26.8,,,,
2026-07-23T06:48:49+00:00,245,35.4,27,65.2,3.6,9.7,27.1,26.5,,,,
2026-07-23T06:49:11+00:00,246,35,27.1,64.9,3.6,9.7,27,26.4,,,,
2026-07-23T06:49:33+00:00,247,34.6,27.1,64.5,3.6,9.6,26.8,26.2,,,,
2026-07-23T06:49:55+00:00,248,34.8,27.1,64.1,3.6,9.5,26.6,26,,,,
2026-07-23T06:50:17+00:00,249,34.6,27.1,63.9,3.6,9.4,26.5,25.9,,,,
2026-07-23T06:50:39+00:00,250,33.7,27,63.7,3.6,9.4,26.4,25.8,,,,
2026-07-23T06:51:00+00:00,251,34.8,27.1,63.4,3.6,9.3,26.3,25.7,,,,
2026-07-23T06:51:22+00:00,252,34.2,27,63.1,3.6,9.3,26.1,25.5,,,,
2026-07-23T06:51:43+00:00,253,33.4,27,62.8,3.6,9.2,26,25.4,,,,
2026-07-23T06:52:06+00:00,254,34.4,27,62.5,3.6,9.2,25.8,25.2,,,,
2026-07-23T06:52:28+00:00,255,33.6,27,62.3,3.6,9.1,25.7,25.1,,,,
2026-07-23T06:52:50+00:00,256,32.7,27,62.1,3.6,9.1,25.6,25,,,,
2026-07-23T06:53:12+00:00,257,33.3,27,61.9,3.6,9,25.5,24.9,,,,
2026-07-23T06:53:34+00:00,258,33.6,27,61.6,3.6,9,25.4,24.8,,,,
2026-07-23T06:53:56+00:00,259,33.3,27,61.4,3.6,8.9,25.3,24.7,,,,
2026-07-23T06:54:17+00:00,260,32.9,27,61.2,3.6,8.9,25.2,24.6,,,,
2026-07-23T06:54:40+00:00,261,32.7,27,61.1,3.6,8.9,25.1,24.5,,,,
2026-07-23T06:55:01+00:00,262,32.7,27,60.9,3.6,8.8,25,24.4,,,,
2026-07-23T06:55:23+00:00,263,32.6,27,60.8,3.6,8.8,25,24.4,,,,
2026-07-23T06:55:45+00:00,264,32.6,27,60.6,3.6,8.8,24.9,24.3,,,,
2026-07-23T06:56:07+00:00,265,32.1,27,60.4,3.6,8.7,24.8,24.2,,,,
2026-07-23T06:56:29+00:00,266,32.6,27,60.3,3.6,8.7,24.8,24.1,,,,
2026-07-23T06:56:50+00:00,267,32.2,27,60.1,3.6,8.7,24.7,24,,,,
2026-07-23T06:57:12+00:00,268,32.4,27,60.1,3.6,8.7,24.7,24,,,,
2026-07-23T06:57:34+00:00,269,33.6,27,59.8,3.6,8.6,24.5,23.9,,,,
2026-07-23T06:57:56+00:00,270,32.1,27,59.7,3.6,8.6,24.5,23.9,,,,
2026-07-23T06:58:17+00:00,271,32.4,27,59.5,3.6,8.5,24.4,23.8,,,,
2026-07-23T06:58:40+00:00,272,31.4,27,59.5,3.6,8.5,24.3,23.7,,,,
2026-07-23T06:59:01+00:00,273,31.4,27,59.3,3.6,8.5,24.3,23.7,,,,
2026-07-23T06:59:24+00:00,274,31.9,26.9,59.1,3.6,8.4,24.2,23.6,,,,
2026-07-23T06:59:46+00:00,275,31.3,27,59,3.6,8.4,24.1,23.5,,,,
2026-07-23T07:00:08+00:00,276,31.6,26.9,58.9,3.6,8.4,24.1,23.5,,,,
2026-07-23T07:00:30+00:00,277,28.1,27,52.7,3.6,7.1,21.1,20.5,,,,
2026-07-23T07:00:51+00:00,278,29.2,27,52.1,3.7,7,20.8,20.2,,,,
2026-07-23T07:01:13+00:00,279,47.3,27.8,93.5,3.9,15.6,40.8,40.3,,,,
2026-07-23T07:01:35+00:00,280,44.7,27.7,81.8,3.8,13.2,35.1,34.6,,,,
2026-07-23T07:01:56+00:00,281,44.7,27.6,77.5,3.7,12.3,33.1,32.5,,,,
2026-07-23T07:02:18+00:00,282,42.1,27.6,74.9,3.7,11.7,31.8,31.2,,,,
2026-07-23T07:02:39+00:00,283,41.7,27.5,72.5,3.7,11.2,30.6,30.1,,,,
2026-07-23T07:03:01+00:00,284,39.1,27.5,69.7,3.7,10.7,29.3,28.7,,,,
2026-07-23T07:03:23+00:00,285,39.1,27.5,68.3,3.7,10.4,28.6,28,,,,
2026-07-23T07:03:44+00:00,286,39,27.4,67.2,3.6,10.1,28.1,27.5,,,,
2026-07-23T07:04:06+00:00,287,38.3,27.4,66.2,3.6,9.9,27.6,27,,,,
2026-07-23T07:04:28+00:00,288,36.8,27.4,65.2,3.6,9.7,27.1,26.5,,,,
2026-07-23T07:04:49+00:00,289,36.5,27.3,64.5,3.6,9.6,26.8,26.2,,,,
2026-07-23T07:05:12+00:00,290,36.9,27.4,64.1,3.6,9.5,26.6,26,,,,
2026-07-23T07:05:33+00:00,291,36.6,27.3,63.4,3.7,9.3,26.3,25.7,,,,
